id,municipio,municipio_uf,latitude,longitude,uf
3901,ANDRE DA ROCHA,ANDRE DA ROCHA - RS,-28.63,-51.57,RS
1367,ANDRELANDIA,ANDRELANDIA - MG,-21.74,-44.3,MG
4750,ANGATUBA,ANGATUBA - SP,-23.49,-48.41,SP
1368,ANGELANDIA,ANGELANDIA - MG,-17.6,-42.16,MG
2196,ANGELICA,ANGELICA - MS,-22.15,-53.77,MS
2770,ANGELIM,ANGELIM - PE,-8.89,-36.28,PE
4369,ANGELINA,ANGELINA - SC,-27.56,-48.98,SC
217,ANGICAL,ANGICAL - BA,-12,-44.69,BA
2954,ANGICAL DO PIAUI,ANGICAL DO PIAUI - PI,-6.08,-42.73,PI
5377,ANGICO,ANGICO - TO,-6.39,-47.86,TO
3663,ANGICOS,ANGICOS - RN,-5.66,-36.6,RN
3565,ANGRA DOS REIS,ANGRA DOS REIS - RJ,-23,-44.31,RJ
218,ANGUERA,ANGUERA - BA,-12.15,-39.24,BA
3179,ANGULO,ANGULO - PR,-23.19,-51.91,PR
895,ANHANGUERA,ANHANGUERA - GO,-18.33,-48.21,GO
4751,ANHEMBI,ANHEMBI - SP,-22.78,-48.12,SP
4752,ANHUMAS,ANHUMAS - SP,-22.29,-51.38,SP
896,ANICUNS,ANICUNS - GO,-16.46,-49.96,GO
2955,ANISIO DE ABREU,ANISIO DE ABREU - PI,-9.18,-43.04,PI
4370,ANITA GARIBALDI,ANITA GARIBALDI - SC,-27.68,-51.13,SC
4371,ANITAPOLIS,ANITAPOLIS - SC,-27.9,-49.12,SC
127,ANORI,ANORI - AM,-3.77,-61.64,AM
3902,ANTA GORDA,ANTA GORDA - RS,-28.97,-52,RS
219,ANTAS,ANTAS - BA,-10.4,-38.33,BA
3180,ANTONINA,ANTONINA - PR,-25.42,-48.71,PR
626,ANTONINA DO NORTE,ANTONINA DO NORTE - CE,-6.77,-39.98,CE
2956,ANTONIO ALMEIDA,ANTONIO ALMEIDA - PI,-7.21,-44.19,PI
